date,competition_string
"Tuesday, March 17 (First Four in Dayton, Ohio)",(16) UMBC vs. (16) Howard | 6:40 p.m. | truTV
"Tuesday, March 17 (First Four in Dayton, Ohio)",(11) Texas vs. (11) NC State | 9:15 p.m. | truTV
"Wednesday, March 18 (First Four in Dayton, Ohio)",(16) Prairie View A&M vs. (16) Lehigh | 6:40 p.m. | truTV
"Wednesday, March 18 (First Four in Dayton, Ohio)",(11) Miami (Ohio) vs. (11) SMU | 9:15 p.m. | truTV
"Thursday, March 19 (First Round/Round of 64)",(8) Ohio State vs. (9) TCU | 12:15 p.m. | CBS
"Thursday, March 19 (First Round/Round of 64)",(4) Nebraska vs. (13) Troy | 12:40 p.m. | truTV
"Thursday, March 19 (First Round/Round of 64)",(6) Louisville vs. (11) South Florida | 1:30 p.m. | TNT
"Thursday, March 19 (First Round/Round of 64)",(5) Wisconsin vs. (12) High Point | 1:50 p.m. | TBS
"Thursday, March 19 (First Round/Round of 64)",(1) Duke vs. (16) Siena | 2:50 p.m. | CBS
"Thursday, March 19 (First Round/Round of 64)",(5) Vanderbilt vs. (12) McNeese | 3:15 p.m. | truTV
"Thursday, March 19 (First Round/Round of 64)",(3) Michigan State vs. (14) North Dakota State | 4:05 p.m. | TNT
"Thursday, March 19 (First Round/Round of 64)",(4) Arkansas vs. (13) Hawai'i | 4:25 p.m. | TBS
"Thursday, March 19 (First Round/Round of 64)",(6) North Carolina vs. (11) VCU | 6:50 p.m. | TNT
"Thursday, March 19 (First Round/Round of 64)",(1) Michigan vs. TBD | 7:10 p.m. | CBS
"Thursday, March 19 (First Round/Round of 64)",(6) BYU vs. TBD | 7:25 p.m. | TBS
"Thursday, March 19 (First Round/Round of 64)",(7) Saint Mary's vs. (10) Texas A&M | 7:35 p.m. | truTV
"Thursday, March 19 (First Round/Round of 64)",(3) Illinois vs. (14) Penn | 9:25 p.m. | TNT
"Thursday, March 19 (First Round/Round of 64)",(8) Georgia vs. (9) Saint Louis | 9:45 p.m. | CBS
"Thursday, March 19 (First Round/Round of 64)",(3) Gonzaga vs. (14) Kennesaw State | 10 p.m. | TNT
"Thursday, March 19 (First Round/Round of 64)",(2) Houston vs. (15) Idaho | 10:10 p.m. | truTV
"Friday, March 20 (First Round/Round of 64)",(7) Kentucky vs. (10) Santa Clara | 12:15 p.m. | CBS
"Friday, March 20 (First Round/Round of 64)",(5) Texas Tech vs. (12) Akron | 12:40 p.m. | truTV
"Friday, March 20 (First Round/Round of 64)",(1) Arizona vs. (16) Long Island University | 1:35 p.m. | TNT
"Friday, March 20 (First Round/Round of 64)",(3) Virginia vs. (14) Wright State | 1:50 p.m. | TBS
"Friday, March 20 (First Round/Round of 64)",(2) Iowa State vs. (15) Tennessee State | 2:50 p.m. | CBS
"Friday, March 20 (First Round/Round of 64)",(4) Alabama vs. (13) Hofstra | 3:15 p.m. | truTV
"Friday, March 20 (First Round/Round of 64)",(8) Villanova vs. (9) Utah State | 4:10 p.m. | TNT
"Friday, March 20 (First Round/Round of 64)",(6) Tennessee vs. TBD | 4:25 p.m. | TBS
"Friday, March 20 (First Round/Round of 64)",(8) Clemson vs. (9) Iowa | 6:50 p.m. | TNT
"Friday, March 20 (First Round/Round of 64)",(5) St. John's vs. (12) UNI | 7:10 p.m. | CBS
"Friday, March 20 (First Round/Round of 64)",(7) UCLA vs. (10) UCF | 7:25 p.m. | TBS
"Friday, March 20 (First Round/Round of 64)",(2) Purdue vs. (15) Queens | 7:35 p.m. | truTV
"Friday, March 20 (First Round/Round of 64)",(1) Florida vs. TBD | 9:25 p.m. | TNT
"Friday, March 20 (First Round/Round of 64)",(4) Kansas vs. (13) Cal Baptist | 9:45 p.m. | CBS
"Friday, March 20 (First Round/Round of 64)",(2) UConn vs. (15) Furman | 10 p.m. | TBS
"Friday, March 20 (First Round/Round of 64)",(7) Miami (Fla.) vs. (10) Missouri | 10:10 p.m. | truTV
